title,link,location,original_price,price,end_date
Santa Barbara Passport,https://www.livingsocial.com/deals/1536590-wine-tasting-passport-for-2,Los Angeles Area, 59,29,
"Up to 50% Off Lingerie, Sleepwear, and Activewear",https://www.livingsocial.com/deals/1649122-up-to-50-off-lingerie-sleepwear-and-activewear,, 120,59,
Clean N Done,https://www.livingsocial.com/deals/1639832-120-minute-deep-house-cleaning-session,Los Angeles Area, 149,68,
JCPenney Portraits,https://www.livingsocial.com/deals/1638016-photography-session-with-prints-and-digital-image,Los Angeles Area, 120,16,
"8"" x 8"" Mini Canvas",https://www.livingsocial.com/deals/1636986-8-x-8-mini-canvas,, 49,9,
Vin Hesten Trail Rides,https://www.livingsocial.com/deals/1633626-1-or-2-hour-premier-trail-ride-with-wine-tasting,"Temecula, CA", 150,69,
Lou's Brews &  BBQ,https://www.livingsocial.com/deals/1625492-whole-chicken-bbq-meal-or-20-to-spend,"Huntington Beach, CA", 50,29,
Modern Day Spa,https://www.livingsocial.com/deals/1609700-swedish-reflexology-massage-or-facial,"Fountain Valley, CA", 70,35,
Cerritos Fit Body Boot Camp,https://www.livingsocial.com/deals/1605080-4-weeks-of-unlimited-boot-camp,"Cerritos, CA", 177,49,
Lean Six Sigma Career Advancement Bundle,https://www.livingsocial.com/deals/1645126-lean-six-sigma-career-advancement-bundle,, 2299,79,
Helen Nassib at Louis Michael Salon,https://www.livingsocial.com/deals/1644198-haircut-with-straightening-and-coloring-services,"Beverly Hills, CA", 100,50,
"Ticket to ""The Naked Magicians""",https://www.livingsocial.com/events/1643002-ticket-to-the-naked-magicians,"AnaAnaheim, CA", 35,20,use by Mar 30
OC Salsa,https://www.livingsocial.com/deals/1642364-five-or-ten-1-hour-salsa-and-bachata-classes,"Costa Mesa, CA", 75,29,
Fembody Fitness,https://www.livingsocial.com/deals/1640786-pole-dancing-aerial-or-barre-fitness-classes,Multiple Locations, 70,19,
Royal Khyber Fine Indian Cuisine,https://www.livingsocial.com/deals/1637270-4-course-indian-dinner-in-santa-ana,"Santa Ana, CA", 143,85,
Zimmer Children's Museum,https://www.livingsocial.com/deals/1633976-ticket-to-zimmer-children-s-museum,"Los Angeles, CA", 30,15,
Laguna Skin & Beyond Studio,https://www.livingsocial.com/deals/1633946-deluxe-facial-customized-facial-or-back-facial,"Laguna Hills, CA", 115,34,
Orange County Foot and Ankle Institute,https://www.livingsocial.com/deals/1622550-laser-toenail-treatment-in-santa-ana,"Santa Ana, CA", 199,99,
Maze Room Los Angeles,https://www.livingsocial.com/deals/1622294-1-hour-experience-in-portal-room,"Los Angeles, CA", 198,104,
Murder Mystery Scavenger Hunt,https://www.livingsocial.com/deals/1620724-entry-to-murder-mystery-scavenger-hunt,Los Angeles Area, 54,36,
Ontario Improv,https://www.livingsocial.com/deals/1614938-2-general-admission-tickets,"Ontario, CA", 100,20,
Umedspa,https://www.livingsocial.com/deals/1614636-diamond-tip-microdermabrasion-and-vi-peel,"Costa Mesa, CA", 425,198,
Windsor Homebrew Supply Co,https://www.livingsocial.com/deals/1608364-admission-for-2-people-to-a-beer-making-class,"Costa Mesa, CA", 50,24,
Redlands Underground,https://www.livingsocial.com/deals/1647806-2-course-dinner-at-redlands-underground,"Redlands, CA", 42,23,
Bella Vie Beauty Center,https://www.livingsocial.com/deals/1644048-60-minute-swedish-massage-or-1-european-facial,"Fountain Valley, CA", 78,42,
Sparadise Massage and Wellness Center,https://www.livingsocial.com/deals/1643282-90-minute-or-1-hour-customized-massage-for-1-or-2,"West Hollywood, CA", 115,45,
The Original Non-Stick Copper Pan,https://www.livingsocial.com/deals/1642380-the-original-non-stick-copper-pan,, 39,19,
Beauty Deals: Brazilian Waxes or Eyebrow Shaping,https://www.livingsocial.com/deals/1638362-brazilian-waxes-or-eyebrow-shaping,"Long Beach, CA", 60,29,
Rhea Ashlynn Photography,https://www.livingsocial.com/deals/1638354-maternity-family-or-young-child-portrait-package,Los Angeles Area, 230,84,
San Diego Carpet Cleaning,https://www.livingsocial.com/deals/1637670-carpet-steam-cleaning-for-3-or-5-rooms,Los Angeles Area, 150,49,
Head to Toe Care Massage,https://www.livingsocial.com/deals/1635286-hot-stone-or-couple-s-massage-with-aromatherapy,"Torrance, CA", 90,39,
Massage by Juliana at HB Beauty Supply and Salon,https://www.livingsocial.com/deals/1635228-swedish-deep-tissue-or-hot-stone-massage,"Huntington Beach, CA", 60,24,
Green Bay Salon by Nancy,https://www.livingsocial.com/deals/1632334-microdermabrasion-with-optional-organic-facial,"Costa Mesa, CA", 60,29,
"Center for Cosmetic, Implant & Neuromuscular Dentistry",https://www.livingsocial.com/deals/1629530-15-or-20-units-of-botox,Multiple Locations, 225,109,
EnVy Lounge,https://www.livingsocial.com/deals/1629330-4-cocktails-shared-plate,"Newport Beach, CA", 68,35,
C'est La Vie Restaurant and Bakery,https://www.livingsocial.com/deals/1622738-20-or-30-to-spend-on-french-food-or-macarons,"Laguna Beach, CA", 20,9,
Beverly Hills Cosmetic Centers,https://www.livingsocial.com/deals/1612820-cavitation-thermalift-lipo-light-or-velashape,Multiple Locations, 249,32,
Elysian Bliss Day Spa,https://www.livingsocial.com/deals/1606988-microdermabrasion-package,"Fullerton, CA", 158,49,
Escapedom,https://www.livingsocial.com/deals/1606376-escape-room-experience,"Los Angeles, CA", 112,90,
YogaCycle,https://www.livingsocial.com/deals/1648008-5-fitness-classes,"Redondo Beach, CA", 125,50,
Ticket to LA Galaxy II Soccer Game,https://www.livingsocial.com/events/1647122-ticket-to-la-galaxy-ii-soccer-game,"Carson, CA", 11,8,use by Sep  9
South County Microspa,https://www.livingsocial.com/deals/1644940-upper-or-lower-permanent-eyeliner,"Rancho Santa Margarita, CA", 325,100,
Dickey's Barbecue Pit,https://www.livingsocial.com/deals/1638708-20-to-spend-at-dickey-s-barbecue-pit,"Corona, CA", 20,11,
Eco Dive Center,https://www.livingsocial.com/deals/1638584-2-weekend-open-water-padi-diver-certification,"West Los Angeles, CA", 699,339,
Tease iT Studio,https://www.livingsocial.com/deals/1637306-1-or-2-brazilian-or-bikini-waxes,"Irvine, CA", 65,19,
Combat Paintball Park,https://www.livingsocial.com/deals/1636534-combat-paintball-package,"Castaic, CA", 65,19,
Race Entry Package to Night Nation Run,https://www.livingsocial.com/events/1635988-race-entry-package-to-night-nation-run,"Costa Mesa, CA", 60,29,Apr 08
Rob Rubens Distilling And Brewing,https://www.livingsocial.com/deals/1635570-craft-spirits-and-beer-tasting-flights,"El Segundo, CA", 36,25,
Sports Academy,https://www.livingsocial.com/deals/1633580-cryotherapy-sessions-in-newbury-park,"Thousand Oaks, CA", 60,26,
McKenna's Tea Cottage,https://www.livingsocial.com/deals/1632364-little-duchess-or-lady-hamilton-teas-for-2-people,"Seal Baech, CA", 24,12,
Deo Juvante Yacht,https://www.livingsocial.com/deals/1631470-sunset-cruise-for-1-or-2,"Newport Beach, CA", 70,25,
Carma MedSpa,https://www.livingsocial.com/deals/1629458-20-units-of-botox-or-microdermabrasion,"Glendale, CA", 75,39,
Photo Booth Company Orange County,https://www.livingsocial.com/deals/1624048-3-hour-photo-booth-rental-with-unlimited-prints,Los Angeles Area, 399,149,
Amoderm Cosmetic & Wellness Medical Center,https://www.livingsocial.com/deals/1610022-fractional-co2-laser-treatment-for-the-full-face,"Irvine, CA", 1199,439,
Five Starr Pilates & Fitness,https://www.livingsocial.com/deals/1608166-pilates-reformer-classes-or-indoor-cycling-classes,"Long Beach, CA", 140,49,
Orange County Collision and Glass Center,https://www.livingsocial.com/deals/1605214-headlight-restoration-or-full-bumper-repair,"Fullerton, CA", 145,29,
Super Handyman Service,https://www.livingsocial.com/deals/1431872-2-or-3-hours-of-handyman-services,Los Angeles Area, 140,80,
"Ticket to ""Peppa Pig Live! Peppa Pig's Surprise!""",https://www.livingsocial.com/events/1648836-ticket-to-peppa-pig-live-peppa-pig-s-surprise,"Los Angeles, CA",,50,use by Dec 10
Admission to the Winner's Circle BBQ Package,https://www.livingsocial.com/events/1648042-admission-to-the-winner-s-circle-bbq-package,"Arcadia, CA", 23,14,Apr 01
Tickets to Horse Town Brew 'N' Que Festival,https://www.livingsocial.com/events/1643354-tickets-to-horse-town-brew-n-que-festival,"Norco, CA", 30,15,Jun 03
Aesthetic Advantage,https://www.livingsocial.com/deals/1643298-laser-toenail-fungus-treatment,"Corona, CA", 399,169,
Beverly Hills Cosmetic & Laser Center,https://www.livingsocial.com/deals/1641566-microderm-ipl-photofacial-or-velashape,"Beverly Hills, CA", 325,94,
1-Year Subscription to Us Weekly,https://www.livingsocial.com/deals/1639018-1-year-subscription-to-us-weekly,, 70,34,
Invisible Braces Impression Kit and Treatment Plan,https://www.livingsocial.com/deals/1638666-invisible-braces-impression-kit-and-treatment-plan,, 95,49,
Facelogic Spa,https://www.livingsocial.com/deals/1637458-signature-oxygen-facial-and-upper-body-massage,"Tustin, CA", 109,44,
OC Facial Care Center,https://www.livingsocial.com/deals/1636012-massages-and-infrared-sauna-sessions,"Lake Forest, CA", 228,99,
The 13th Room,https://www.livingsocial.com/deals/1634998-escape-room-experience-for-4-or-8-people,"Pomona, CA", 136,99,
Top Out Climbing,https://www.livingsocial.com/deals/1629986-indoor-rock-climbing-day-pass-for-up-to-4-people,"Santa Clarita, CA", 16,9,
Precision Fitness,https://www.livingsocial.com/deals/1627222-12-personal-training-sessions,"Anaheim, CA", 300,99,
Szechuwan Garden,https://www.livingsocial.com/deals/1618614-30-to-spend-on-szechuwan-chinese-food,"Montclair, CA", 30,17,
Nat-Ur-Treasures,https://www.livingsocial.com/deals/1613720-1-2-or-3-ipl-photofacials,"Long Beach, CA", 99,38,
Primp & Polish Nail Spa,https://www.livingsocial.com/deals/1612974-mani-pedi-and-hot-stone-massage-with-organic-scrub,"Costa Mesa, CA", 45,24,
Vampire Lounge & Tasting Room,https://www.livingsocial.com/deals/1610824-premium-wine-tasting-for-2,"Beverly Hills, CA", 60,34,
Moxie Glam Photography Studio,https://www.livingsocial.com/deals/1601460-2-or-3-hour-boudoir-glamour-photo-shoot,"Costa Mesa, CA", 350,99,
Hollywood Massage Studio,https://www.livingsocial.com/deals/1601094-60-minute-body-massage,"West Hollywood, CA", 150,39,
Functional Sports Performance,https://www.livingsocial.com/deals/1596408-60-day-fitness-program,"Irvine, CA", 400,174,
6 Bottles of Moscato and 2 Govino® Glasses,https://www.livingsocial.com/deals/1650132-6-bottles-of-moscato-and-2-govino-glasses,, 97,39,
Eternal Impressions Hair Salon,https://www.livingsocial.com/deals/1648172-brazilian-blowout,"Corona, CA", 200,89,
Simplydlicious,https://www.livingsocial.com/deals/1648118-southern-cuisine-from-simplydlicious,"Los Angeles, CA", 30,17,
"Ticket to ""Happy Together Tour"" Concert",https://www.livingsocial.com/events/1647924-ticket-to-happy-together-tour-concert,"Agoura Hills, CA", 53,30,use by Jul 13
Hamburger Mary's - Ontario,https://www.livingsocial.com/deals/1644698-20-or-40-to-spend-on-delicious-american-food,"Ontario, CA", 20,11,
Southern California Jet Skis,https://www.livingsocial.com/deals/1644498-jet-ski-experience-or-boat-rental-experience,"Oxnard, CA", 149,99,
The Great Redemption Escape Room,https://www.livingsocial.com/deals/1641306-escape-room-admission,"Van Nuys, CA", 105,65,
Organic Relief Massage Services,https://www.livingsocial.com/deals/1640050-60-or-90-minute-deep-tissue-massage,"Los Angeles, CA", 66,35,
Maxwell's Salon of London,https://www.livingsocial.com/deals/1638784-haircut-with-deep-conditioning-treatment-and-style,"Irvine, CA", 90,44,
Personalized Brown Antiqued Leather Notepad,https://www.livingsocial.com/deals/1636400-personalized-brown-antiqued-leather-notepad,, 100,8,
8x10 Photo on Metal Print,https://www.livingsocial.com/deals/1636094-8x10-photo-on-metal-print,, 70,5,
American Sign Language Course,https://www.livingsocial.com/deals/1635966-american-sign-language-course,, 299,29,
Samba Brazilian Steakhouse,https://www.livingsocial.com/deals/1633760-50-to-spend-on-brazilian-cuisine,"Universal City, CA", 50,35,
A Fine Line Body Sculpting,https://www.livingsocial.com/deals/1627672-chromogenex-i-lipo-lipo-light-or-thermalift,"Westlake Village, CA", 249,49,
The Ice House Comedy Club,https://www.livingsocial.com/deals/1623428-2-tickets-to-the-ice-house-comedy-club,"Pasadena, CA", 35,15,
The Bunker Experience,https://www.livingsocial.com/deals/1621424-bunker-experience,"Pasadena, CA", 60,39,
OC Body Solutions​,https://www.livingsocial.com/deals/1620726-3-endermologie-treatments,"San Juan Capistrano, CA", 169,99,
Jeanette's Massage Health and Wellness,https://www.livingsocial.com/deals/1613178-stress-reduction-or-deep-tissue-massage,"Seal Beach, CA", 100,54,
Centre Épiderme,https://www.livingsocial.com/deals/1613160-ipl-photofacial-or-full-syringe-of-restylane,"Beverly Hills, CA", 500,119,
Fire Glass Studio,https://www.livingsocial.com/deals/1606746-44-off-90-minute-touch-of-glass-glass-fusion-clas,"Canoga Park, CA", 89,49,
Newport Fun Charters,https://www.livingsocial.com/deals/1602858-sunset-cruise,"Newport Beach, CA", 70,25,
Specialty Dental Group,https://www.livingsocial.com/deals/1599152-dental-exam-and-cleaning,"Long Beach, CA", 240,19,
Eco Auto Care Park & Wash - Delacey,https://www.livingsocial.com/deals/1595766-deluxe-car-wash,"Pasadena, CA", 175,39,
"Ticket to ""The Siegel""",https://www.livingsocial.com/events/1649614-ticket-to-the-siegel,"Costa Mesa, CA", 48,24,use by Apr 22
Soulé Skin Spa,https://www.livingsocial.com/deals/1649036-microdermabrasion-packages-at-soule-skin-spa,"Woodland Hills, CA", 150,35,
Picture Keeper for Android,https://www.livingsocial.com/deals/1647366-picture-keeper-for-android,, 60,24,
Bookkeeping and QuickBooks Online Course,https://www.livingsocial.com/deals/1647144-bookkeeping-and-quickbooks-online-course,, 199,19,
Dana Wharf Sportfishing,https://www.livingsocial.com/deals/1645132-2-hour-whale-watching-tour,"Dana Point, CA", 45,19,
Mend Cryotherapy,https://www.livingsocial.com/deals/1644212-cryotherapy-sessions-or-unlimited-cryotherapy,"Santa Clarita, CA", 80,39,
Green Jade Acupuncture,https://www.livingsocial.com/deals/1643840-1-acupuncture-session-at-green-jade-acupuncture,"Orange, CA", 60,19,
Ticket to Franco De Vita Concert,https://www.livingsocial.com/events/1643000-ticket-to-franco-de-vita-concert,"Hollywood, CA", 112,49,use by Apr  1
The G Spa,https://www.livingsocial.com/deals/1641168-3-venus-freeze-treatments,"Santa Barbara, CA", 750,375,
$75 or $250 to Spend at Southtree.com,https://www.livingsocial.com/deals/1640856-75-or-250-to-spend-at-southtree-com,, 75,24,
Personalized Engraved Infinity Couples Glass,https://www.livingsocial.com/deals/1637112-personalized-engraved-infinity-couples-glass,, 19,9,
SWS Auto Detailing,https://www.livingsocial.com/deals/1634342-mobile-car-or-suv-detail-package,Los Angeles Area, 349,174,
The Brew & Meatball Co.,https://www.livingsocial.com/deals/1631898-20-to-spend-on-beer-meatballs,"Covina, CA", 20,12,
Cheddar Grilled Cheese Co.,https://www.livingsocial.com/deals/1628538-20-or-40-to-spend-on-gourmet-grilled-cheese,"Los Angeles, CA", 20,11,
Serenity Phoenix Wellness,https://www.livingsocial.com/deals/1625538-60-minute-massage-package-with-juice-shot,Multiple Locations, 109,39,
Free Auto Care,https://www.livingsocial.com/deals/1625088-oil-changes-tire-rotations-other-auto-care,Multiple Locations, 199,32,
VIP RECON,https://www.livingsocial.com/deals/1624474-full-car-window-tinting,"Santa Clarita, CA", 325,159,
Lee Podiatry Group,https://www.livingsocial.com/deals/1624410-laser-toenail-fungus-removal-for-up-to-2-feet,Multiple Locations, 199,99,
Dr. Colorchip,https://www.livingsocial.com/deals/1623750-350-or-99-to-spend-on-paint-chip-repairs,Los Angeles Area, 350,169,
McFadden's Anaheim,https://www.livingsocial.com/deals/1621280-40-to-spend-on-classic-american-food,"Anaheim, CA", 40,24,
Sumbody Studio,https://www.livingsocial.com/deals/1617530-group-pilates-reformer-classes,Multiple Locations, 175,44,
In-Person Life Coaching Certification Course,https://www.livingsocial.com/events/1615512-in-person-life-coaching-certification-course,"Austin, TX", 2450,399,May 07
Spa Carrera,https://www.livingsocial.com/deals/1608222-full-set-of-mink-eyelash-extensions,"Monterey Park, CA", 120,58,
Dawn's Day Spa,https://www.livingsocial.com/deals/1606024-wine-detox-peel-facial-and-muscle-toning,"Laguna Niguel, CA", 247,39,
Balboa Fun Tours,https://www.livingsocial.com/deals/1602976-2-hour-kayak-rental,"Newport, CA", 30,15,
Comedy on Deck Tours,https://www.livingsocial.com/deals/1432914-ticket-to-the-grand-canyon-west-rim-tour,Multiple Locations, 199,114,
Steam Carpet 4 U,https://www.livingsocial.com/deals/1432604-carpet-area-rug-or-upholstery-cleaning,Los Angeles Area, 89,44,
Online Natural Holistic Remedies Course,https://www.livingsocial.com/deals/1648986-online-natural-holistic-remedies-course,, 872,19,
Five O'Clock Wine Bar,https://www.livingsocial.com/deals/1648292-2-wine-or-craft-beer-flights-and-appetizer,"Long Beach, CA", 36,24,
"Ticket to ""Snow White: A Children's Comedy""",https://www.livingsocial.com/events/1647244-ticket-to-snow-white-a-children-s-comedy,"North Hollywood, CA", 23,12,Apr 01 - May 06
Passion Hair Salon,https://www.livingsocial.com/deals/1647138-haircut-conditioning-highlights-or-balayage,"Corona, CA", 40,25,
Tilly's Tacos,https://www.livingsocial.com/deals/1646566-12-for-mexican-cuisine,"Gardena, CA", 10,6,
"Ticket to ""The Wizard of Oz""",https://www.livingsocial.com/events/1646436-ticket-to-the-wizard-of-oz,"Westminster, CA", 20,10,use by May 14
My True Health Center,https://www.livingsocial.com/deals/1645184-5-options-of-vitamin-b12-or-lipotropic-injections,"Long Beach, CA", 100,25,
Personalized Beach Bag,https://www.livingsocial.com/deals/1644110-personalized-beach-bag,, 20,9,
Johnny Rockets,https://www.livingsocial.com/deals/1643146-20-to-spend-on-all-american-cuisine,"Ontario, CA", 20,12,
Reveille,https://www.livingsocial.com/deals/1642680-unlimited-yoga-sessions,"Riverside, CA", 55,28,
Tri Set of Canvas Prints,https://www.livingsocial.com/deals/1641116-tri-set-of-canvas-prints,, 147,19,
Orchid Skin Care,https://www.livingsocial.com/deals/1639126-facial-microdermabrasion-and-laser-hair-removal,"La Crescenta Montrose, CA", 70,45,
Subscription to National Geographic Kids or Little,https://www.livingsocial.com/deals/1639118-subscription-to-national-geographic-kids-or-little,, 25,12,
Harmony Spa of Monterey Park,https://www.livingsocial.com/deals/1638696-60-minute-bath-bomb-foot-soak,"Monterey Park, CA", 59,26,
L.A. Racing,https://www.livingsocial.com/deals/1634908-20-lap-adventure-program,"Irwindale, CA", 399,125,
Miley Maids,https://www.livingsocial.com/deals/1632462-3-or-4-man-hours-of-house-cleaning,Los Angeles Area, 110,69,
School of Real Estate,https://www.livingsocial.com/deals/1630928-online-real-estate-license-certification-course,Los Angeles Area, 149,99,
Studio Fixx,https://www.livingsocial.com/deals/1630822-10-or-20-fitness-classes,"Irvine, CA", 120,29,
Eleven Photo Booth,https://www.livingsocial.com/deals/1630296-4-hour-photo-booth-with-props,Los Angeles Area, 550,199,
Slim Beauty Center,https://www.livingsocial.com/deals/1627426-detoxification-or-ipl-facial,Multiple Locations, 169,39,
True Beauty,https://www.livingsocial.com/deals/1624260-pumpkin-enzyme-or-aha-peel-and-spa-add-ons,"Long Beach, CA", 144,44,
Carpinteria 76 Risdon's,https://www.livingsocial.com/deals/1624070-1-3-or-5-hand-washes-for-1-car,"Carpinteria, CA", 24,12,
Beauty By Us,https://www.livingsocial.com/deals/1621780-haircut-with-mini-olaplex-or-highlights,"Mission Viejo, CA", 55,29,
The Ride 7D,https://www.livingsocial.com/deals/1621682-ride-simulation-laser-shooting,"Irvine, CA", 18,9,
Santa Barbara Passport,https://www.livingsocial.com/deals/1618530-wine-tasting-passport-for-2,Los Angeles Area, 59,29,
Your Covina Family Dentistry,https://www.livingsocial.com/deals/1615916-exam-and-zoom-teeth-whitening,"Covina, CA", 459,40,
Body Lounge Spa,https://www.livingsocial.com/deals/1611756-spa-admission-or-massage-package-with-hot-stones,"Sherman Oaks, CA", 80,39,
Emulsion Skin & Body Care,https://www.livingsocial.com/deals/1608462-cinderella-facial-with-vitamin-c-and-e-serum,"Lake Forest, CA", 135,39,
Facials by Christy at Escapes Salon,https://www.livingsocial.com/deals/1606548-80-minute-detox-deep-cleaning-facial,"Claremont, CA", 80,38,
Simoni Plastic Surgery,https://www.livingsocial.com/deals/1601622-botox-nasal-filler-facial-or-vein-treatments,"Beverly Hills, CA", 300,167,
All About You Face & Body Care,https://www.livingsocial.com/deals/1598086-massage-with-chi-soy-facial-mask,"Long Beach, CA", 115,59,
Microsoft Office Ultimate Bundle,https://www.livingsocial.com/deals/1647352-microsoft-office-ultimate-bundle,, 9990,29,
CISSP Course,https://www.livingsocial.com/deals/1647260-cissp-course,, 672,39,
6 or 12 Months of Unlimited Online Yoga Classes,https://www.livingsocial.com/deals/1646522-6-or-12-months-of-unlimited-online-yoga-classes,, 72,11,
Centre Barre South Pasadena,https://www.livingsocial.com/deals/1646520-unlimited-fitness-classes-and-one-fit-3d-body-scan,"South Pasadena, CA", 274,79,
Sabz And Olive,https://www.livingsocial.com/deals/1646006-mediterranean-cuisine-at-sabz-and-olive,"Glendale, CA", 34,20,
Jamee Knows Beauty,https://www.livingsocial.com/deals/1644724-haircut-deep-condition-blow-dry-and-style,"Orange, CA", 60,29,
"""The Dinner Detective"" Murder Mystery Theater",https://www.livingsocial.com/events/1644370-the-dinner-detective-murder-mystery-theater,"Burbank, CA", 92,49,Aug 18
1-Year Subscription to Highlights Magazine,https://www.livingsocial.com/deals/1641254-1-year-subscription-to-highlights-magazine,, 40,29,
Personalized Watch Case,https://www.livingsocial.com/deals/1640056-personalized-watch-case,, 75,19,
Entry to The Super Run 5K - Heroes vs. Villains,https://www.livingsocial.com/events/1639860-entry-to-the-super-run-5k-heroes-vs-villains,"Ventura, CA", 35,24,Apr 22
Rori's Artisinal Ice Cream,https://www.livingsocial.com/deals/1639538-10-to-spend-on-ice-cream,"Santa Barbara, CA", 10,6,
Personalized Storybook,https://www.livingsocial.com/deals/1638226-personalized-storybook,, 25,9,
Lux Salon,https://www.livingsocial.com/deals/1636992-haircut-package,"Fullerton, CA", 50,29,
Maryam of Brentwood,https://www.livingsocial.com/deals/1636494-choice-of-facial-packages,"Los Angeles, CA", 95,54,
Entertainment Coupons Digital Membership,https://www.livingsocial.com/deals/1635786-entertainment-coupons-digital-membership,, 20,10,
Harmony Day Spa,https://www.livingsocial.com/deals/1635242-lavender-aromatherapy-body-massage,"San Gabriel, CA", 72,35,
Jenny's Day Spa,https://www.livingsocial.com/deals/1635026-european-facial-or-mink-eyelash-extensions,"Signal Hill, CA", 65,34,
Touch of Class Medspa & Laser Center,https://www.livingsocial.com/deals/1633252-3-or-6-laser-hair-removal-treatments,"Glendale, CA", 840,99,
"3, 6, or 10 Laps in a Stock Car on Track",https://www.livingsocial.com/events/1631274-3-6-or-10-laps-in-a-stock-car-on-track,"Fontana, CA", 299,149,use by Nov 12
Lash Up,https://www.livingsocial.com/deals/1625722-full-set-of-eyelash-extensions,Multiple Locations, 175,68,
In-Person Life Coaching Certification Course,https://www.livingsocial.com/events/1625654-in-person-life-coaching-certification-course,"Brooklyn, NY", 2450,399,Mar 31
Star Track Tours,https://www.livingsocial.com/deals/1623464-2-hour-day-or-night-hollywood-tour,"Los Angeles, CA", 60,30,
Guided Holiday Lights Hydrobike Tour,https://www.livingsocial.com/events/1622070-guided-holiday-lights-hydrobike-tour,"Long Beach, CA", 40,20,use by Sep 27
You and the Mat,https://www.livingsocial.com/deals/1621158-10-yoga-classes-or-a-full-month-of-classes,Multiple Locations, 190,29,
Unleashed Women's Fitness Studio,https://www.livingsocial.com/deals/1620146-3-months-of-unlimited-yoga-classes,"signal hill, CA", 225,25,
Fit Body Boot Camp,https://www.livingsocial.com/deals/1617526-month-of-unlimited-boot-camp-classes,Multiple Locations, 127,49,
Skin Boutique,https://www.livingsocial.com/deals/1616954-clarifying-facial-with-deep-cleaning-extractions,"Sherman Oaks, CA", 100,49,
Miller's Carpet Care,https://www.livingsocial.com/deals/1614752-carpet-cleaning-or-upholstery-cleaning,Los Angeles Area, 245,49,
Chandra Relaxation,https://www.livingsocial.com/deals/1614380-massage-choice-of-facials-or-spa-package,"Los Angeles, CA", 110,46,
Sushi Zen Maru,https://www.livingsocial.com/deals/1613146-20-or-30-to-spend-on-sushi-in-long-beach,"Long Beach, CA", 20,9,
Ocean Explorer Cruises,https://www.livingsocial.com/deals/1612816-sunset-cruise-and-1-drink,"Newport Beach, CA", 30,11,
Tony Goodwin ART PARTY!!,https://www.livingsocial.com/deals/1608072-painting-class-for-1-2-or-4,Multiple Locations, 45,24,
Kalologie 360 Spa Hollywood,https://www.livingsocial.com/deals/1606256-signature-facial-and-aromatherapy-massage,"Hollywood, CA", 250,99,
Queen Vision Entertainment,https://www.livingsocial.com/deals/1605602-three-30-minute-private-voice-lessons,Multiple Locations, 135,39,
Greer at Hypnotic Salon & Spa,https://www.livingsocial.com/deals/1602890-deep-cleansing-facial-and-microdermabrasion,"Tustin, CA", 100,39,
Hollywood Academy of Music and Arts,https://www.livingsocial.com/deals/1601386-private-music-lessons-or-acting-classes,Multiple Locations, 288,99,
The Waxing Room,https://www.livingsocial.com/deals/1597220-brazilian-or-full-back-waxes,"Huntington Beach, CA", 47,27,
Newport Beach Cruise,https://www.livingsocial.com/deals/1648338-90-minute-sunset-or-evening-cruise-and-drinks,"Newport Beach, CA", 30,12,
Agua Dulce Winery,https://www.livingsocial.com/deals/1646534-guided-barrel-tasting-tour-for-2,"Agua Dulce, CA", 112,39,
Smoke's Poutinerie - Los Angeles,https://www.livingsocial.com/deals/1645848-poutine-with-fresh-wisconsin-cheese-curds,"Los Angeles, CA", 20,12,
Lashes by Irene Rubino,https://www.livingsocial.com/deals/1645290-full-set-of-eyelash-extensions,"Laguna Niguel, CA", 200,69,
Pirmann Chiropractic,https://www.livingsocial.com/deals/1644454-chiropractic-package,"Irvine, CA", 380,29,
The Secret Pole Dance Studio,https://www.livingsocial.com/deals/1643614-3-pole-dance-or-fitness-classes,Multiple Locations, 75,25,
Lavender Care Day Spa,https://www.livingsocial.com/deals/1643480-2-4-or-6-microdermabrasions,"Chino, CA", 100,49,
Build-Your-Own 15-Bottle Wine Collection,https://www.livingsocial.com/deals/1642376-build-your-own-15-bottle-wine-collection,, 260,64,
2-Pack: Round Solar House Lights,https://www.livingsocial.com/deals/1642310-2-pack-round-solar-house-lights,, 70,19,
2 Tickets to Kingsmen Shakespeare Festival,https://www.livingsocial.com/events/1642056-2-tickets-to-kingsmen-shakespeare-festival,"Thousand Oaks, CA", 50,30,Jun 30 - Aug 06
"Ticket to ""Man of La Mancha""",https://www.livingsocial.com/events/1641760-ticket-to-man-of-la-mancha,"Northridge, CA", 43,26,use by May  5
Personalized Letter Embosser,https://www.livingsocial.com/deals/1640572-personalized-letter-embosser,, 60,27,
Slender Me Medical Weight Loss and Aesthetics,https://www.livingsocial.com/deals/1640522-4-week-weight-management-program,Multiple Locations, 185,59,
Tone Barre,https://www.livingsocial.com/deals/1640444-5-barre-classes-or-indoor-cycling,Multiple Locations, 110,39,
15-Bottle Amore Wine Collection,https://www.livingsocial.com/deals/1639424-15-bottle-amore-wine-collection,, 259,69,
Escape Pilates Studio,https://www.livingsocial.com/deals/1638856-5-group-reformer-pilates-classes,"Costa Mesa, CA", 140,45,
Aesthetic Dental Group,https://www.livingsocial.com/deals/1638236-20-units-of-botox-in-thousand-oaks,"Thousand Oaks, CA", 395,149,
Indulgence Spa,https://www.livingsocial.com/deals/1637004-massage-and-facial-or-eyelash-extensions,"Los Angeles, CA", 187,89,
