title,link,location,original_price,price,end_date
"""Fifty Shades of Men, Cuffs 'N Collars The Show"" on Friday, May 19 at 8 p.m.",https://www.livingsocial.com/events/2008348-gl-fifty-shades-of-men-sevilla,"Long Beach, CA", 25,13,use by May 18
"""Game of Thrones: The Musical"" with Optional Digital Soundtrack (March 10–April 16)",https://www.livingsocial.com/events/2008356-gl-game-of-thrones-the-musical-1,Multiple Locations, 35,23,use by Apr 14
Vivica's Black Magic Live on March 26 at 7 p.m. or 9 p.m.,https://www.livingsocial.com/events/2008352-gl-vivica-s-black-magic-live-1,Multiple Locations, 37,25,use by Apr 26
DTLA Hair,https://www.livingsocial.com/deals/1648672-haircut-deep-conditioning-blow-dry-at-dtla-hair,"los angeles, CA", 110,49,
Dirty Heads/SOJA with The Green and RDGLDGRN on July 13 at 6 p.m.,https://www.livingsocial.com/events/2008600-gl-dirty-heads-soja-with-special-guests-the-green-rdgldgrn,Multiple Locations, 51,35,use by Apr 26
Badfish - A Tribute To Sublime on March 30 at 8 p.m.,https://www.livingsocial.com/events/2008360-gl-badfish-34,"Los Angeles, CA", 19,10,use by Mar 31
on April 21–23,https://www.livingsocial.com/events/2008354-gl-disney-on-ice-presents-dream-big-8,Multiple Locations, 29,23,use by Apr 14
Freelance Ocean Tours,https://www.livingsocial.com/deals/1648352-ticket-for-a-10-hour-deep-sea-fishing-experience,"Newport Beach, CA", 83,40,
Ticket for The Apple Band Tribute Concert,https://www.livingsocial.com/events/1648282-ticket-for-the-apple-band-tribute-concert,"Los Angeles, CA", 35,17,use by Apr 24
Wu-Tang Clan on March 23 at 8 p.m.,https://www.livingsocial.com/events/2007286-gl-wu-tang,"Hollywood, CA", 77,49,use by Apr 26
"Movie Night at The Wiltern: ""Fight Club"" with Live Score on June 22 at 7 p.m.",https://www.livingsocial.com/events/2007208-gl-movie-night-at-the-wiltern-fight-club,Multiple Locations, 42,20,use by Apr 26
Everclear on June 28 at 8 p.m.,https://www.livingsocial.com/events/2007084-gl-everclear-so-much-for-the-afterglow-20th-anniversary-tour,"Los Angeles, CA", 49,21,use by Apr 26
AME Medical Group,https://www.livingsocial.com/deals/1645972-co2-fractional-laser-facial-treatment,Multiple Locations, 5000,499,
Brea Improv Standup-Comedy Show for Two or Four with Tickets to a Future Show Through May 31,https://www.livingsocial.com/events/2006010-gl-brea-improv-4,Multiple Locations, 100,20,use by May 30
Standup Comedy for Two or Four Plus Tickets to a Future Show (Through May 31),https://www.livingsocial.com/events/2005592-gl-hollywood-improv-4-8,Multiple Locations, 92,20,use by May 30
Harry Poppins and the Knock Shop of Secrets on February 17–March 31,https://www.livingsocial.com/events/2005584-gl-harry-poppins-and-the-knock-shop-of-secrets,Multiple Locations, 22,10,use by Mar 30
"Movie Night at The Wiltern: ""Half Baked"" on April 20 at 7 p.m.",https://www.livingsocial.com/events/2003966-gl-movie-night-at-the-wiltern-half-baked,Multiple Locations, 6,4,use by Apr 26
"Ticket to ""Artisanal LA""",https://www.livingsocial.com/events/1644588-ticket-to-artisanal-la,"Los Angeles, CA", 10,5,use by Apr  1
"Ticket for ""10 Things I Hate About You""",https://www.livingsocial.com/events/1644448-ticket-for-10-things-i-hate-about-you,"Los Angeles, CA", 20,5,use by Apr 15
Laser Eye Center,https://www.livingsocial.com/deals/1643486-all-laser-lasik-vision-correction-for-both-eyes,Multiple Locations, 3950,1799,
Howard's Cafe,https://www.livingsocial.com/deals/1642314-15-or-30-to-spend-on-cafe-fare-for-2-or-4-people,"Los Angeles, CA", 15,9,
Cinema Wellness,https://www.livingsocial.com/deals/1639380-skin-rejuvenation-facial-with-radio-frequency,"Los Angeles, CA", 325,89,
AZIAM,https://www.livingsocial.com/deals/1637504-admission-to-yoga-house-party-with-dj,"Los Angeles, CA", 25,15,
AZIAM,https://www.livingsocial.com/deals/1637078-detox-services,"Los Angeles, CA", 225,165,
AZIAM,https://www.livingsocial.com/deals/1637074-10-yoga-classes,"Los Angeles, CA", 200,130,
L.A. Med Spa Esthetique,https://www.livingsocial.com/deals/1635764-stress-relieving-wellness-therapy-treatment,Multiple Locations, 100,49,
HiLife Athletics,https://www.livingsocial.com/deals/1632312-unlimited-group-fitness-classes,"Marina Del Rey, CA", 39,19,
Still Yoga,https://www.livingsocial.com/deals/1624352-yoga-classes-in-silver-lake,"Los Angeles, CA", 120,34,
Dr. Zak Dental Care,https://www.livingsocial.com/deals/1622566-dental-cleaning-package,"Downey, CA", 323,29,
GoToTrafficSchool.com,https://www.livingsocial.com/deals/1606758-traffic-school-or-driver-s-ed-online-course,Los Angeles Area, 35,19,
Instaglam Photobooth,https://www.livingsocial.com/deals/1601226-photo-booth-rental,Los Angeles Area, 849,499,
